技術的脅威 ,"ぎじゅつてききょうい
Mối đe dọa kỹ thuật"
人的脅威 ,"じんてききょうい
Mối đe dọa con người"
物理的脅威 ,"ぶつりてききょうい
Mối đe dọa vật lý"
手口 ,"てぐち
Thủ thuật"
攻撃,"こうげき
Tấn công"
パスワードリスト攻撃,"
Tấn công danh sách mật khẩu"
フィッシング,"
Phishing (Tấn công giả mạo)"
DNS キャッシュポイズニング,"
DNS Cache Poisoning"
SEOポイズニング,"
SEO Poisoning"
SQL インジェクション,"
SQL Injection"
DoS 攻撃,"
Tấn công DoS"
ディレクトリトラバーサル攻撃,"
Tấn công Directory Traversal"
Web ビーコン,"
Web beacon"
スパイウェア,"
Spyware"
ブルートフォース攻撃,"
Tấn công Brute-force"
ソーシャルエンジニアリング,"
Tấn công phi kỹ thuật"
なりすまし,"
Giả mạo dữ liệu"
サラミ法,"サラミほう
Phương pháp salami"
脆弱（性）,"ぜいじゃく（せい）
Lỗ hổng, dễ bị tấn công"
装う ,"よそおう
Giả vờ/ngụy trang"
偽,"にせ
Giả "
URLを載せた電子メール,"ユーアールエルをのせたでんしメール
Thư điện tử có chứa đường dẫn đến trang web"
暗証番号 ,"あんしょうばんごう
Mã số bảo mật"
だまし取る,"だましとる
Lừa gạt để lấy đi~"
誘導する ,"ゆうどうする
Chuyển hướng, dẫn đường"
マルウェア,"
Phần mềm độc hại (Malware)"
紛れ込む,"まぎれこむ
Bị lẫn vào, trà trộn vào~"
細工する,"さいくする
1. Gia công, chế tác (đòi hỏi tỷ mỉ bằng tay) 
2. Dùng thủ thuật nhỏ, lươn lẹo để lừa gạt"
被害,"ひがい
Thiệt hại"
損害 ,"そんがい
Hư hại"
SQL文,"エスキューエルぶん
Câu lệnh SQL"
入力欄,"にゅうりょくらん
Trường nhập liệu"
打ち込む,"うちこむ
Nhập, gõ ~"
実行する,"じっこうする
Thực thi, chạy (run)"
無効化 ,"むこうか
Vô hiệu hoá"
埋め込む,"うめこむ
Nhúng vào, tích hợp"
訪問頻度,"ほうもんひんど
Tần suất ghé thăm/truy cập"
アクセス動向 ,"アクセスどうこう
Xu hướng truy cập"
収集する,"しゅうしゅうする
Thu thập"
監視する,"かんしする
Giám sát"
仕掛ける,"しかける
Thiết lập"
パスワード解析,"パスワードかいせき
Phân tích mật khẩu"
解読,"かいどく
Giải mã"
組合せパターン,"くみあわせパターン
Các kiểu tổ hợp"
操作ミス,"そうさミス
Lỗi thao tác"
緊急事態 ,"きんきゅうじたい
Trường hợp khẩn cấp"
組織内部 ,"そしきないぶ
Nội bộ tổ chức"
隙を突く,"すきをつく
Lợi dụng lỗ hổng"
表面化する,"ひょうめんかする
Hiện rõ, sáng tỏ"
詐取する,"さしゅする
Gian lận, lừa gạt"